LAT,LON,MUNICIPIO,CIE_10,SEXO,CASOS
16.7569,-93.1292,Tuxtla Gutierrez,C50,Femenino,12
16.7528,-93.1167,Tuxtla Gutierrez,C50,Femenino,8
16.7370,-93.1020,Tuxtla Gutierrez,C50,Masculino,5
14.9000,-92.2667,Tapachula,C34,Masculino,15
14.8950,-92.2550,Tapachula,C34,Femenino,7
16.2500,-92.1333,San Cristobal,C61,Masculino,10
16.2450,-92.1400,San Cristobal,C61,Masculino,6
17.5000,-91.9833,Palenque,C18,Femenino,9
17.4900,-91.9750,Palenque,C18,Femenino,4
16.3200,-91.9800,Comitan,C50,Femenino,11
16.3150,-91.9700,Comitan,C50,Femenino,13
15.1200,-92.4600,Huixtla,C22,Masculino,6
15.1150,-92.4550,Huixtla,C22,Femenino,3
16.1000,-93.7500,Arriaga,C34,Masculino,14
16.0950,-93.7450,Arriaga,C34,Femenino,5
16.7000,-93.0000,Chiapa de Corzo,C50,Femenino,9
16.6950,-92.9950,Chiapa de Corzo,C50,Femenino,7
15.7700,-93.1200,Tonalá,C61,Masculino,8
15.7650,-93.1150,Tonalá,C61,Masculino,4
16.4300,-92.7200,Villahermosa,C18,Femenino,10
